player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season
Jacob Christensen,24,['Denmark'],DM,€800k,1.FC Köln,Molde FK,?,25/26
Philipp Pentke,40,['Germany'],GK,€200k,1.FC Köln,Without Club,-,25/26
Mark Uth,33,['Germany'],CF,€350k,1.FC Köln,Retired,-,25/26
Rayan Philippe,24,['France'],RW,€3.50m,Eintracht Braunschweig,Hamburger SV,€2.50m,25/26
Nicolai Remberg,25,['Germany'],DM,€3.00m,Holstein Kiel,Hamburger SV,€2.40m,25/26
Nicolás Capaldo,26,"['Argentina', 'Italy']",CM,€5.00m,Red Bull Salzburg,Hamburger SV,€2.10m,25/26
Albert Sambi Lokonga,25,"['Belgium', 'DR Congo']",CM,€8.00m,Arsenal FC,Hamburger SV,€300k,25/26
Jordan Torunarigha,27,"['Nigeria', 'Germany']",CB,€4.00m,KAA Gent,Hamburger SV,free transfer,25/26
Fernando Dickes,17,['Germany'],GK,-,RB Leipzig U19,Hamburger SV,?,25/26
Ludovit Reis,25,"['Netherlands', 'Slovakia']",CM,€7.00m,Hamburger SV,Club Brugge KV,€6.00m,25/26
András Németh,22,"['Hungary', 'South Africa']",CF,€500k,Hamburger SV,Puskás Akadémia FC,€450k,25/26
Sebastian Schonlau,31,['Germany'],CB,€800k,Hamburger SV,Vancouver Whitecaps FC,€150k,25/26
Davie Selke,30,['Germany'],CF,€3.50m,Hamburger SV,Basaksehir FK,free transfer,25/26
Lucas Perrin,26,['France'],CB,€2.00m,Hamburger SV,Sporting Gijón,free transfer,25/26
Nicolas Oliveira,21,"['Germany', 'Spain']",RB,€300k,Hamburger SV,SSV Jahn Regensburg,free transfer,25/26
Valon Zumberi,22,"['Kosovo', 'Germany']",CB,€150k,Hamburger SV,Vitesse Arnhem,free transfer,25/26
Tom Sanne,21,['Germany'],CF,€200k,Hamburger SV,SV Wacker Burghausen,?,25/26
Tom Mickel,36,['Germany'],GK,€100k,Hamburger SV,Retired,-,25/26
