Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Season
98,Thomas Campaniello,ITA,['FW'],Empoli,16,2008,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
99,Matteo Cancellieri,ITA,"['FW', 'MF']",Parma,22,2002,15.8,27,1.71,15,2,4,1,5,0,3,0.19,1,0,2,0,0,0,2024-2025
100,Fali Candé,GNB,['DF'],Venezia,26,1998,17.0,14,0.82,10,2,0,1,1,0,3,0.18,2,0,0,1,0,0,2024-2025
101,Antonio Candela,ITA,['DF'],Venezia,24,2000,11.2,17,1.52,13,1,1,0,0,2,1,0.09,1,0,0,0,0,0,2024-2025
102,Gianluca Caprari,ITA,"['MF', 'FW']",Monza,31,1993,18.3,63,3.43,43,13,1,4,1,1,5,0.27,5,0,0,0,0,0,2024-2025
103,Elia Caprile,ITA,['GK'],Cagliari,22,2001,18.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
104,Elia Caprile,ITA,['GK'],Napoli,22,2001,3.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
105,Francesco Caputo,ITA,['FW'],Empoli,36,1987,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
106,Maxence Caqueret,FRA,['MF'],Como,24,2000,12.1,41,3.40,34,1,3,2,1,0,8,0.66,7,0,1,0,0,0,2024-2025
107,Andrea Carboni,ITA,['DF'],Monza,23,2001,24.3,11,0.45,11,0,0,0,0,0,2,0.08,2,0,0,0,0,0,2024-2025
108,Franco Carboni,ITA,['DF'],Venezia,21,2003,2.5,5,2.00,4,0,0,0,1,0,1,0.40,0,0,0,0,1,0,2024-2025
109,Marco Carnesecchi,ITA,['GK'],Atalanta,24,2000,34.0,5,0.15,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0,2024-2025
