Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
313,Enzo Loiodice,FRA,['MF'],Las Palmas,23,2000,7.6,0,7,4,57.1,0.92,0.53,0.00,0.00,25.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,2024-2025
314,David López,ESP,['DF'],Mallorca,21,2003,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
315,David López,ESP,['DF'],Girona,34,1989,27.0,1,12,3,25.0,0.44,0.11,0.08,0.33,15.9,0,0,0,0.9,0.9,0.07,+0.1,+0.1,2024-2025
316,Diego López,ESP,"['MF', 'FW']",Valencia,22,2002,30.4,8,44,14,31.8,1.45,0.46,0.18,0.57,15.1,0,0,0,6.6,6.6,0.15,+1.4,+1.4,2024-2025
317,Fer López,ESP,"['FW', 'MF']",Celta Vigo,20,2004,7.5,2,20,5,25.0,2.68,0.67,0.10,0.40,15.7,0,0,0,2.7,2.7,0.14,-0.7,-0.7,2024-2025
318,Fermin López,ESP,"['MF', 'FW']",Barcelona,21,2003,13.9,6,41,15,36.6,2.95,1.08,0.15,0.40,18.0,0,0,0,5.6,5.6,0.14,+0.4,+0.4,2024-2025
319,Javi López,ESP,['DF'],Real Sociedad,22,2002,21.5,0,5,1,20.0,0.23,0.05,0.00,0.00,22.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,2024-2025
320,Pau López,ESP,['GK'],Girona,29,1994,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
321,Roberto López,ESP,['MF'],Leganés,24,2000,4.4,0,6,1,16.7,1.36,0.23,0.00,0.00,27.3,0,0,0,0.5,0.5,0.08,-0.5,-0.5,2024-2025
322,Unai López,ESP,['MF'],Rayo Vallecano,28,1995,19.0,3,26,11,42.3,1.37,0.58,0.12,0.27,22.8,1,0,0,1.6,1.6,0.06,+1.4,+1.4,2024-2025
323,Iker Losada,ESP,"['FW', 'MF']",Celta Vigo,22,2001,4.0,1,3,2,66.7,0.75,0.50,0.33,0.50,11.7,0,0,0,1.1,1.1,0.38,-0.1,-0.1,2024-2025
324,Iker Losada,ESP,"['MF', 'FW']",Betis,22,2001,3.7,0,5,1,20.0,1.34,0.27,0.00,0.00,18.5,0,0,0,0.5,0.5,0.10,-0.5,-0.5,2024-2025
325,Pol Lozano,ESP,['MF'],Espanyol,24,1999,21.6,0,8,2,25.0,0.37,0.09,0.00,0.00,29.7,0,0,0,0.2,0.2,0.02,-0.2,-0.2,2024-2025
326,José Luis Gayà,ESP,['DF'],Valencia,29,1995,20.0,0,12,4,33.3,0.60,0.20,0.00,0.00,19.3,0,0,0,1.0,1.0,0.09,-1.0,-1.0,2024-2025
327,Dodi Lukebakio,BEL,['FW'],Sevilla,26,1997,34.4,11,93,38,40.9,2.71,1.11,0.11,0.26,19.2,2,1,1,10.1,9.3,0.10,+0.9,+0.7,2024-2025
328,Daniel Luna,COL,['MF'],Mallorca,21,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
