Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
216,Maxi Gómez,URU,['FW'],Valencia,25,1996,1.2,0,3,0,0.0,2.50,0.00,0.00,,18.9,1,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,2022-2023
217,Moi Gómez,ESP,"['MF', 'FW']",Osasuna,28,1994,27.3,3,19,9,47.4,0.70,0.33,0.16,0.33,21.0,0,0,0,1.8,1.8,0.09,+1.2,+1.2,Matches,2022-2023
218,Papu Gómez,ARG,"['FW', 'MF']",Sevilla,34,1988,11.8,1,22,7,31.8,1.86,0.59,0.05,0.14,21.4,0,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches,2022-2023
219,Sergi Gómez,ESP,['DF'],Espanyol,30,1992,26.0,0,9,4,44.4,0.35,0.15,0.00,0.00,12.8,0,0,0,0.9,0.9,0.10,-0.9,-0.9,Matches,2022-2023
220,Antonio Gomis,ESP,['GK'],Atlético Madrid,19,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
221,Diego González,ESP,['DF'],Elche,27,1995,10.6,0,6,0,0.0,0.56,0.00,0.00,,12.8,0,0,0,0.8,0.8,0.13,-0.8,-0.8,Matches,2022-2023
222,Édgar González,ESP,['DF'],Betis,25,1997,19.7,0,9,3,33.3,0.46,0.15,0.00,0.00,9.7,0,0,0,1.2,1.2,0.14,-1.2,-1.2,Matches,2022-2023
223,Giovanni González,URU,['DF'],Mallorca,27,1994,10.3,0,4,0,0.0,0.39,0.00,0.00,,19.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,2022-2023
224,Nicolás González,ESP,['MF'],Valencia,20,2002,15.6,1,14,3,21.4,0.90,0.19,0.07,0.33,15.2,0,0,0,1.5,1.5,0.11,-0.5,-0.5,Matches,2022-2023
225,Roberto González,ESP,"['FW', 'MF']",Betis,21,2001,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
226,Andoni Gorosabel,ESP,['DF'],Real Sociedad,25,1996,19.0,0,14,1,7.1,0.74,0.05,0.00,0.00,21.7,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches,2022-2023
227,José Gragera,ESP,"['MF', 'DF']",Espanyol,21,2000,5.1,1,4,1,25.0,0.78,0.20,0.25,1.00,11.6,0,0,0,0.7,0.7,0.22,+0.3,+0.3,Matches,2022-2023
228,Ivo Grbić,CRO,['GK'],Atlético Madrid,26,1996,10.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
229,Dominik Greif,SVK,['GK'],Mallorca,25,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
230,Clément Grenier,FRA,['MF'],Mallorca,31,1991,8.0,0,3,2,66.7,0.38,0.25,0.00,0.00,23.1,1,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,2022-2023
231,Antoine Griezmann,FRA,"['FW', 'MF']",Atlético Madrid,31,1991,31.8,15,111,44,39.6,3.49,1.39,0.14,0.34,17.6,5,0,0,12.3,12.3,0.11,+2.7,+2.7,Matches,2022-2023
232,Andrés Guardado,MEX,['MF'],Betis,35,1986,15.3,1,8,3,37.5,0.52,0.20,0.13,0.33,23.2,1,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches,2022-2023
233,Sergi Guardiola,ESP,['FW'],Valladolid,31,1991,5.6,0,11,3,27.3,1.97,0.54,0.00,0.00,17.7,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Matches,2022-2023
