Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
262,Jonathan Ikone,FRA,['FW'],Fiorentina,25,1998,18.7,3,39,15,38.5,2.09,0.80,0.08,0.20,16.1,0,0,0,4.6,4.6,0.12,-1.6,-1.6,2023-2024
263,Chukwubuikem Ikwuemesi,NGA,['FW'],Salernitana,21,2001,11.8,1,22,8,36.4,1.87,0.68,0.05,0.13,16.1,0,0,0,2.4,2.4,0.11,-1.4,-1.4,2023-2024
264,Ivan Ilić,SRB,['MF'],Torino,22,2001,23.3,3,27,11,40.7,1.16,0.47,0.11,0.27,22.4,6,0,0,2.1,2.1,0.08,+0.9,+0.9,2023-2024
265,Samuel Iling-Junior,ENG,"['DF', 'MF']",Juventus,19,2003,9.0,1,9,4,44.4,1.00,0.44,0.11,0.25,15.5,0,0,0,0.7,0.7,0.08,+0.3,+0.3,2023-2024
266,Ciro Immobile,ITA,['FW'],Lazio,33,1990,18.4,7,45,19,42.2,2.45,1.04,0.07,0.16,13.5,0,4,4,9.7,6.6,0.15,-2.7,-3.6,2023-2024
267,Gino Infantino,ARG,['MF'],Fiorentina,20,2003,1.1,0,1,0,0.0,0.94,0.00,0.00,,29.3,0,0,0,0.0,0.0,0.02,0.0,0.0,2023-2024
268,Gustav Isaksen,DEN,['FW'],Lazio,22,2001,11.9,3,23,9,39.1,1.93,0.75,0.13,0.33,20.0,3,0,0,1.6,1.6,0.07,+1.4,+1.4,2023-2024
269,Ardian Ismajli,ALB,['DF'],Empoli,26,1996,22.7,0,5,0,0.0,0.22,0.00,0.00,,10.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,2023-2024
270,Armando Izzo,ITA,['DF'],Monza,31,1992,18.3,0,5,3,60.0,0.27,0.16,0.00,0.00,12.1,0,0,0,0.7,0.7,0.14,-0.7,-0.7,2023-2024
271,Filip Jagiełło,POL,['MF'],Genoa,25,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2023-2024
