Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Season
552,César Tárrega,ESP,['DF'],Valencia,22,2002,33.6,10,0.30,9,0,0,1,0,0,0,0.00,0,0,0,0,0,0,2024-2025
553,Aurélien Tchouaméni,FRA,"['DF', 'MF']",Real Madrid,24,2000,29.9,34,1.14,33,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
554,Álvaro Tejero,ESP,"['MF', 'DF']",Espanyol,28,1996,13.8,55,4.00,28,23,1,1,1,1,9,0.65,4,3,1,1,0,0,2024-2025
555,Martín Tejón,ESP,"['MF', 'DF']",Valencia,20,2004,0.5,1,1.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
556,Nahuel Tenaglia,ARG,['DF'],Alavés,28,1996,32.5,51,1.57,28,10,2,2,8,1,4,0.12,1,0,0,0,3,0,2024-2025
557,Marc-André ter Stegen,GER,['GK'],Barcelona,32,1992,7.5,1,0.13,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
558,Ramón Terrats,ESP,"['MF', 'FW']",Villarreal,23,2000,1.5,4,2.73,2,0,0,1,1,0,0,0.00,0,0,0,0,0,0,2024-2025
559,Ramón Terrats,ESP,"['MF', 'FW']",Getafe,23,2000,13.5,32,2.36,23,4,1,1,2,1,2,0.15,2,0,0,0,0,0,2024-2025
560,Raúl de Tomás,ESP,"['DF', 'FW']",Rayo Vallecano,29,1994,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
561,Pablo Torre,ESP,"['MF', 'FW']",Barcelona,21,2003,3.4,18,5.24,14,2,0,0,1,1,3,0.87,3,0,0,0,0,0,2024-2025
562,David Torres,ESP,['DF'],Valladolid,21,2003,15.4,3,0.19,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
563,Ferrán Torres,ESP,"['FW', 'MF']",Barcelona,24,2000,12.3,38,3.09,26,2,4,2,3,1,7,0.57,6,0,1,0,0,0,2024-2025
564,Lucas Torró,ESP,['MF'],Osasuna,30,1994,32.9,38,1.16,31,0,0,5,1,1,3,0.09,3,0,0,0,0,0,2024-2025
565,Hamari Traoré,MLI,['DF'],Real Sociedad,32,1992,7.8,13,1.67,11,1,1,0,0,0,2,0.26,1,1,0,0,0,0,2024-2025
566,Óscar Trejo,ARG,['MF'],Rayo Vallecano,36,1988,5.5,18,3.27,15,0,0,2,1,0,1,0.18,1,0,0,0,0,0,2024-2025
567,Viktor Tsyhankov,UKR,"['FW', 'MF']",Girona,26,1997,21.3,65,3.06,34,22,1,3,4,1,8,0.38,4,3,0,0,1,0,2024-2025
568,Beñat Turrientes,ESP,['MF'],Real Sociedad,22,2002,10.5,12,1.15,10,1,1,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
569,Christantus Uche,NGA,"['FW', 'MF']",Getafe,21,2003,27.6,78,2.82,53,0,7,2,15,1,10,0.36,8,0,0,0,2,0,2024-2025
570,Naci Ünüvar,NED,"['MF', 'DF']",Espanyol,21,2003,0.3,2,5.63,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2024-2025
571,Óscar Valentín,ESP,['MF'],Rayo Vallecano,29,1994,20.4,44,2.16,40,0,1,0,3,0,3,0.15,3,0,0,0,0,0,2024-2025
572,Germán Valera,ESP,['MF'],Valencia,22,2002,1.6,5,3.04,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
573,Martin Valjent,SVK,['DF'],Mallorca,28,1995,30.7,26,0.85,20,0,2,3,1,0,3,0.10,3,0,0,0,0,0,2024-2025
574,Jesús Vallejo,ESP,['DF'],Real Madrid,27,1997,1.5,3,1.96,3,0,0,0,0,0,1,0.65,1,0,0,0,0,0,2024-2025
575,Federico Valverde,URU,"['MF', 'DF']",Real Madrid,26,1998,33.7,87,2.58,81,1,1,4,0,0,13,0.39,12,0,0,1,0,0,2024-2025
576,Siebe Van Der Heyden,BEL,"['DF', 'MF']",Mallorca,26,1998,1.1,2,1.86,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
577,Ruben Vargas,SUI,"['FW', 'MF']",Sevilla,25,1998,7.5,31,4.16,16,5,4,5,1,0,3,0.40,3,0,0,0,0,0,2024-2025
