Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerials_Won,aerials_Lost,aerials_Won%,Season
135,Nikita Contini Baranovsky,ITA,['GK'],Napoli,27,1996,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2023-2024
136,Diego Coppola,ITA,['DF'],Hellas Verona,19,2003,18.2,9,0,0,32,4,0,0,27,22,0,0,0,70,82,47,63.6,2023-2024
137,Tommaso Corazza,ITA,['DF'],Bologna,19,2004,2.2,1,0,0,1,3,0,8,5,4,0,0,0,8,0,1,0.0,2023-2024
138,Jeppe Corfitzen,DEN,['FW'],Lecce,18,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2023-2024
139,Giacomo Corona,ITA,['FW'],Empoli,19,2004,0.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,2023-2024
140,João Costa,BRA,"['MF', 'FW']",Roma,18,2005,0.2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,,2023-2024
141,Benoît Costil,FRA,['GK'],Salernitana,36,1987,13.0,0,0,0,0,1,0,1,0,1,0,0,0,14,0,0,,2023-2024
142,Lassana Coulibaly,MLI,['MF'],Salernitana,27,1996,23.1,5,0,0,33,36,1,8,16,32,0,0,0,129,29,32,47.5,2023-2024
143,Mamadou Coulibaly,SEN,['DF'],Salernitana,24,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2023-2024
144,Alessio Cragno,ITA,['GK'],Sassuolo,29,1994,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0,2023-2024
145,Bryan Cristante,ITA,"['MF', 'DF']",Roma,28,1995,36.5,8,0,0,77,16,4,29,25,41,0,1,0,203,82,60,57.7,2023-2024
146,Juan Cruz,ARG,"['FW', 'MF']",Hellas Verona,24,1999,1.2,0,0,0,1,0,0,1,1,2,0,0,0,2,1,3,25.0,2023-2024
147,Juan Cuadrado,COL,['DF'],Inter,35,1988,3.0,1,0,0,4,6,1,18,1,3,0,0,0,11,0,0,,2023-2024
148,Marvin Cuni,ALB,['FW'],Frosinone,22,2001,5.9,0,0,0,13,12,3,4,1,3,2,0,0,18,16,33,32.7,2023-2024
149,Danilo D'Ambrosio,ITA,['DF'],Monza,34,1988,17.1,5,1,1,18,13,1,7,14,34,0,1,0,77,27,20,57.4,2023-2024
150,Flavius Daniliuc,AUT,['DF'],Salernitana,22,2001,8.3,2,0,0,14,4,0,1,8,11,0,0,0,52,20,15,57.1,2023-2024
151,Danilo,BRA,['DF'],Juventus,32,1991,27.2,7,0,0,26,14,1,18,37,36,0,0,0,142,37,27,57.8,2023-2024
152,Matteo Darmian,ITA,['DF'],Inter,33,1989,26.7,2,0,0,27,11,1,21,13,22,1,2,0,74,20,17,54.1,2023-2024
153,Juan David Cabal,COL,['DF'],Hellas Verona,22,2001,16.6,6,0,0,27,16,1,33,26,27,0,0,0,68,58,21,73.4,2023-2024
