Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerials_Won,aerials_Lost,aerials_Won%,Season
583,Arthur Vermeeren,BEL,['MF'],Atlético Madrid,18,2005,1.8,2,0,0,7,1,0,0,6,0,0,0,0,14,1,6,14.3,2023-2024
584,Mikel Vesga,ESP,['MF'],Athletic Club,30,1993,17.0,2,0,0,28,6,0,13,32,20,0,0,0,112,31,31,50.0,2023-2024
585,Carlos Vicente,ESP,['FW'],Alavés,24,1999,12.4,1,0,0,18,25,9,90,4,6,0,0,0,47,22,26,45.8,2023-2024
586,Nacho Vidal,ESP,"['DF', 'FW']",Osasuna,28,1995,1.1,0,0,0,0,1,0,0,0,4,0,0,0,3,2,4,33.3,2023-2024
587,Nacho Vidal,ESP,['DF'],Mallorca,28,1995,4.6,2,0,0,9,3,0,15,3,5,0,0,0,18,13,7,65.0,2023-2024
588,Fran Vieites,ESP,['GK'],Betis,24,1999,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,2023-2024
589,Jonathan Viera,ESP,"['MF', 'FW']",Las Palmas,33,1989,6.9,1,0,0,3,16,1,16,0,3,0,0,0,28,1,4,20.0,2023-2024
590,Jonathan Viera,ESP,['MF'],Almería,33,1989,10.1,3,1,1,10,16,4,6,4,9,0,0,0,36,3,6,33.3,2023-2024
591,Toni Villa,ESP,['FW'],Girona,28,1995,0.1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,2023-2024
592,Asier Villalibre,ESP,['FW'],Athletic Club,25,1997,5.7,0,0,0,7,11,3,2,0,1,0,0,0,13,21,23,47.7,2023-2024
593,Gonzalo Villar,ESP,['MF'],Granada,25,1998,20.0,7,0,0,44,66,2,24,6,33,1,0,0,131,31,17,64.6,2023-2024
594,Iván Villar,ESP,['GK'],Celta Vigo,26,1997,11.3,0,2,0,2,2,0,0,0,0,0,2,0,19,1,0,100.0,2023-2024
595,Ricardo Visus,ESP,['DF'],Betis,22,2001,1.8,0,0,0,3,1,0,0,2,2,0,0,0,3,2,5,28.6,2023-2024
596,Daniel Vivian,ESP,['DF'],Athletic Club,24,1999,32.0,6,0,0,37,26,1,4,31,28,0,0,0,213,34,46,42.5,2023-2024
597,Shon Weissman,ISR,['FW'],Granada,27,1996,0.9,0,0,0,1,1,0,1,0,1,0,0,0,2,1,5,16.7,2023-2024
598,Iñaki Williams,GHA,['FW'],Athletic Club,29,1994,31.6,4,0,0,32,45,25,111,14,17,0,0,1,119,32,23,58.2,2023-2024
599,Nico Williams,ESP,['FW'],Athletic Club,21,2002,25.1,6,1,1,19,37,12,153,3,12,3,1,0,131,8,9,47.1,2023-2024
600,Axel Witsel,BEL,['DF'],Atlético Madrid,34,1989,30.9,5,0,0,24,29,0,4,16,21,0,0,0,148,55,26,67.9,2023-2024
601,Xeber,ESP,"['FW', 'MF']",Alavés,26,1997,3.4,1,0,0,9,0,1,14,1,5,0,0,0,19,2,5,28.6,2023-2024
602,Antal Yaakobishvili,HUN,['DF'],Girona,19,2004,0.7,0,0,0,1,0,0,0,3,1,0,0,0,3,2,1,66.7,2023-2024
603,Lamine Yamal,ESP,['FW'],Barcelona,16,2007,24.5,3,0,0,23,52,4,87,19,37,2,0,0,102,2,11,15.4,2023-2024
604,Roman Yaremchuk,UKR,['FW'],Valencia,27,1995,10.3,2,0,0,7,13,16,3,1,2,0,0,0,28,26,46,36.1,2023-2024
605,Arsen Zakharyan,RUS,"['MF', 'FW']",Real Sociedad,20,2003,13.6,1,0,0,21,11,3,75,4,15,0,0,0,52,11,21,34.4,2023-2024
606,Joseba Zaldúa,ESP,['DF'],Cádiz,31,1992,7.8,3,0,0,14,4,2,17,2,12,0,0,1,24,10,5,66.7,2023-2024
607,Bryan Zaragoza,ESP,"['MF', 'FW']",Granada,21,2001,18.2,5,0,0,12,33,14,98,3,9,1,0,0,56,4,9,30.8,2023-2024
608,Igor Zubeldia,ESP,['DF'],Real Sociedad,26,1997,28.0,11,1,0,43,9,0,3,32,25,0,1,0,156,83,81,50.6,2023-2024
609,Martín Zubimendi,ESP,['MF'],Real Sociedad,24,1999,29.5,5,0,0,36,20,0,7,37,27,0,0,0,169,44,28,61.1,2023-2024
