Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,challenges_Tkl,challenges_Att,challenges_Tkl%,challenges_Lost,Blocks,blocked_Sh,blocked_Pass,Int,Tkl+Int,Clr,Err,Season
160,Adri Embarba,ESP,['FW'],Espanyol,30,1992,0.4,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,2022-2023
161,Youssef En-Nesyri,MAR,['FW'],Sevilla,25,1997,18.5,16,8,3,7,6,4,14,28.6,10,6,2,4,4,20,16,0,2022-2023
162,Gonzalo Escalante,ARG,['MF'],Cádiz,29,1993,12.5,36,24,15,20,1,15,29,51.7,14,18,4,14,17,53,26,1,2022-2023
163,Sergio Escudero,ESP,['DF'],Valladolid,32,1989,16.0,33,19,21,8,4,15,35,42.9,20,26,6,20,26,59,46,0,2022-2023
164,Alfonso Espino,URU,['DF'],Cádiz,30,1992,34.7,87,56,55,20,12,48,96,50.0,48,52,11,41,48,135,99,3,2022-2023
165,Bernardo Espinosa,COL,['DF'],Girona,33,1989,13.6,6,2,2,4,0,3,9,33.3,6,17,10,7,12,18,70,2,2022-2023
166,Edu Expósito,ESP,['MF'],Espanyol,25,1996,12.9,34,20,16,15,3,13,23,56.5,10,7,0,7,12,46,20,0,2022-2023
167,Nicolás Ezequiel Fernández,ARG,"['MF', 'DF']",Elche,22,2000,5.7,23,12,10,7,6,9,17,52.9,8,7,0,7,5,28,2,1,2022-2023
168,Abde Ezzalzouli,MAR,"['FW', 'MF']",Osasuna,20,2001,16.7,29,19,13,12,4,13,23,56.5,10,20,0,20,4,33,6,0,2022-2023
169,Radamel Falcao,COL,"['FW', 'MF']",Rayo Vallecano,36,1986,6.8,4,4,1,3,0,1,8,12.5,7,5,1,4,2,6,10,0,2022-2023
170,Fali,ESP,"['DF', 'MF']",Cádiz,28,1993,19.0,27,19,19,8,0,18,29,62.1,11,24,15,9,13,40,70,1,2022-2023
171,Mamadou Fall,SEN,['DF'],Villarreal,19,2002,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,2022-2023
172,Ansu Fati,ESP,['FW'],Barcelona,19,2002,15.5,16,9,8,4,4,5,18,27.8,13,19,0,19,5,21,6,0,2022-2023
