Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Season
Ethan Pinnock,JAM,['DF'],Brentford,31,1993,22,21,"1,913",21.3,2,0,2,2,0,0,2,0,1.1,1.1,1.2,2.3,3,41,9,2024-2025
Daniel Podence,POR,"['MF', 'FW']",Wolves,28,1995,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,2024-2025
Alfie Pond,ENG,['DF'],Wolves,20,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,2024-2025
Nick Pope,ENG,['GK'],Newcastle Utd,32,1992,28,28,"2,520",28.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,2024-2025
Pedro Porro,ESP,['DF'],Tottenham,24,1999,33,28,"2,610",29.0,2,6,8,2,0,0,5,0,1.6,1.6,5.0,6.6,65,154,109,2024-2025
Jarell Quansah,ENG,['DF'],Liverpool,21,2003,13,4,495,5.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,3,19,4,2024-2025
Aaron Ramsdale,ENG,['GK'],Southampton,26,1998,30,30,"2,700",30.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,2024-2025
Jacob Ramsey,ENG,"['FW', 'MF']",Aston Villa,23,2001,29,19,"1,623",18.0,1,3,4,1,0,0,4,1,1.6,1.6,2.3,3.9,61,68,114,2024-2025
Marcus Rashford,ENG,"['FW', 'MF']",Manchester Utd,26,1997,15,12,978,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,2024-2025
Marcus Rashford,ENG,['FW'],Aston Villa,26,1997,10,4,444,4.9,2,2,4,1,1,1,0,0,3.1,2.3,2.3,4.5,22,13,42,2024-2025
David Raya,ESP,['GK'],Arsenal,28,1995,38,38,"3,420",38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,14,0,2024-2025
Harrison Reed,ENG,['MF'],Fulham,29,1995,12,0,108,1.2,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,1,4,7,2024-2025
Remy Rees-Dottin,ENG,['FW'],Bournemouth,18,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,2024-2025
Sergio Reguilón,ESP,['DF'],Tottenham,27,1996,4,1,196,2.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,5,13,12,2024-2025
Vitor Reis,BRA,['DF'],Manchester City,18,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,2024-2025
Chadi Riad,MAR,['DF'],Crystal Palace,21,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,2024-2025
Declan Rice,ENG,['MF'],Arsenal,25,1999,35,33,"2,825",31.4,4,7,11,4,0,0,7,1,3.5,3.5,6.6,10.1,90,192,94,2024-2025
Chris Richards,USA,['DF'],Crystal Palace,24,2000,24,22,"1,922",21.4,1,0,1,1,0,0,4,1,1.4,1.4,0.1,1.5,6,39,2,2024-2025
Richarlison,BRA,['FW'],Tottenham,27,1997,15,4,504,5.6,4,1,5,4,0,0,2,0,3.7,3.7,0.9,4.6,8,11,22,2024-2025
Andrew Robertson,SCO,['DF'],Liverpool,30,1994,33,29,"2,482",27.6,0,1,1,0,0,0,3,1,1.2,1.2,4.6,5.8,64,176,108,2024-2025
