Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Season
Jakub Kiwior,POL,['DF'],Arsenal,23,2000,20,11,946,10.5,1,3,4,1,0,0,1,0,0.8,0.8,0.9,1.7,2023-2024
Justin Kluivert,NED,"['MF', 'FW']",Bournemouth,24,1999,32,26,"1,916",21.3,7,1,8,7,0,0,5,0,6.2,6.2,1.9,8.1,2023-2024
Luca Koleosho,ITA,"['MF', 'FW']",Burnley,18,2004,15,13,974,10.8,1,1,2,1,0,0,0,0,2.0,2.0,1.3,3.3,2023-2024
Ibrahima Konaté,FRA,['DF'],Liverpool,24,1999,22,17,"1,574",17.5,0,0,0,0,0,0,5,1,0.7,0.7,0.4,1.1,2023-2024
Ezri Konsa,ENG,['DF'],Aston Villa,25,1997,35,35,"3,069",34.1,1,0,1,1,0,0,5,0,2.5,2.5,0.5,3.0,2023-2024
Cheikhou Kouyaté,SEN,['MF'],Nott'ham Forest,33,1989,12,2,212,2.4,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,2023-2024
Mateo Kovačić,CRO,['MF'],Manchester City,29,1994,30,16,"1,551",17.2,1,0,1,1,0,0,4,0,1.3,1.3,1.6,2.9,2023-2024
Emil Krafth,SWE,['DF'],Newcastle Utd,28,1994,17,8,913,10.1,0,0,0,0,0,0,2,0,0.2,0.2,1.0,1.2,2023-2024
Mohammed Kudus,GHA,"['FW', 'MF']",West Ham,22,2000,33,27,"2,484",27.6,8,6,14,8,0,0,6,0,5.1,5.1,3.5,8.6,2023-2024
Dejan Kulusevski,SWE,"['FW', 'MF']",Tottenham,23,2000,36,31,"2,762",30.7,8,3,11,8,0,0,7,0,4.7,4.7,7.7,12.4,2023-2024
Adam Lallana,ENG,"['MF', 'FW']",Brighton,35,1988,25,13,850,9.4,0,1,1,0,0,0,2,0,0.8,0.8,1.7,2.5,2023-2024
Tariq Lamptey,GHA,"['DF', 'FW']",Brighton,22,2000,19,10,914,10.2,0,3,3,0,0,0,3,0,0.4,0.4,1.2,1.7,2023-2024
Aymeric Laporte,ESP,['DF'],Manchester City,29,1994,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Yasser Larouci,ALG,['DF'],Sheffield Utd,22,2001,11,6,531,5.9,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,2023-2024
Jamaal Lascelles,ENG,['DF'],Newcastle Utd,29,1993,16,13,"1,080",12.0,1,0,1,1,0,0,4,0,0.7,0.7,0.1,0.8,2023-2024
Roméo Lavia,BEL,['MF'],Chelsea,19,2004,1,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Mario Lemina,GAB,['MF'],Wolves,29,1993,35,34,"2,968",33.0,4,1,5,4,0,0,12,1,4.6,4.6,1.5,6.2,2023-2024
Clément Lenglet,FRA,['DF'],Aston Villa,28,1995,14,14,"1,153",12.8,0,1,1,0,0,0,3,0,0.9,0.9,0.8,1.6,2023-2024
Bernd Leno,GER,['GK'],Fulham,31,1992,38,38,"3,420",38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,2023-2024
Jefferson Lerma,COL,"['MF', 'DF']",Crystal Palace,28,1994,28,27,"2,400",26.7,1,1,2,1,0,0,8,0,2.7,2.7,2.2,4.8,2023-2024
Rico Lewis,ENG,"['DF', 'MF']",Manchester City,18,2004,16,8,809,9.0,2,0,2,2,0,0,1,0,0.6,0.6,1.1,1.8,2023-2024
