Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
513,Matthieu Udol,FRA,['DF'],Metz,27,1996,30.0,3,19,7,36.8,0.63,0.23,0.16,0.43,12.3,0,0,0,1.4,1.4,0.07,+1.6,+1.6,Matches,2023-2024
514,Manuel Ugarte,URU,['MF'],Paris S-G,22,2001,21.5,0,10,1,10.0,0.47,0.05,0.00,0.00,23.4,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,2023-2024
515,Samuel Umtiti,FRA,['DF'],Lille,29,1993,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024
516,Kévin Van Den Kerkhof,ALG,"['FW', 'MF']",Metz,27,1996,21.3,1,21,7,33.3,0.99,0.33,0.05,0.14,19.3,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches,2023-2024
517,Vanderson,BRA,['DF'],Monaco,22,2001,18.2,3,30,10,33.3,1.65,0.55,0.10,0.30,21.6,0,0,0,2.1,2.1,0.07,+0.9,+0.9,Matches,2023-2024
518,Jordan Veretout,FRA,['MF'],Marseille,30,1993,24.3,1,36,8,22.2,1.48,0.33,0.03,0.13,22.9,6,0,0,2.9,2.9,0.08,-1.9,-1.9,Matches,2023-2024
519,Alan Virginius,FRA,['FW'],Lille,20,2003,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024
520,Alan Virginius,FRA,['FW'],Clermont Foot,20,2003,10.4,0,10,6,60.0,0.96,0.58,0.00,0.00,15.0,0,0,0,1.3,1.3,0.13,-1.3,-1.3,Matches,2023-2024
521,Vitinha,POR,['FW'],Marseille,23,2000,10.3,3,37,9,24.3,3.61,0.88,0.08,0.33,12.1,0,0,0,5.1,5.1,0.14,-2.1,-2.1,Matches,2023-2024
522,Vitinha,POR,['MF'],Paris S-G,23,2000,23.6,7,45,19,42.2,1.90,0.80,0.16,0.37,21.5,1,0,0,3.1,3.1,0.07,+3.9,+3.9,Matches,2023-2024
523,Elye Wahi,FRA,['FW'],Montpellier,20,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024
524,Elye Wahi,FRA,['FW'],Lens,20,2003,18.8,9,59,30,50.8,3.14,1.60,0.14,0.27,13.3,0,1,1,11.5,10.7,0.18,-2.5,-2.7,Matches,2023-2024
525,Mateusz Wieteska,POL,['DF'],Clermont Foot,26,1997,1.9,1,3,2,66.7,1.55,1.03,0.33,0.50,10.1,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches,2023-2024
526,Josh Wilson-Esbrand,ENG,"['DF', 'MF']",Reims,20,2002,5.1,1,4,1,25.0,0.78,0.20,0.25,1.00,20.0,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches,2023-2024
527,Christopher Wooh,CMR,['DF'],Rennes,21,2001,15.4,1,10,2,20.0,0.65,0.13,0.10,0.50,9.0,0,0,0,1.3,1.3,0.14,-0.3,-0.3,Matches,2023-2024
528,Yusuf Yazıcı,TUR,"['MF', 'FW']",Lille,26,1997,14.6,5,40,14,35.0,2.74,0.96,0.13,0.36,16.5,6,0,0,5.4,5.4,0.14,-0.4,-0.4,Matches,2023-2024
529,Kelvin Yeboah,ITA,['FW'],Montpellier,23,2000,3.1,0,6,3,50.0,1.96,0.98,0.00,0.00,15.3,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,2023-2024
