Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,CK_In,CK_Out,CK_Str,Cmp,Off,Blocks,Season
569,Lukáš Vorlický,CZE,"['MF', 'FW']",Atalanta,20,2002,0.3,31,30,1,0,0,0,1,1,0,0,0,0,19,0,0,2022-2023
570,Aster Vranckx,BEL,['MF'],Milan,19,2002,2.7,127,127,0,0,0,1,3,0,0,0,0,0,96,0,2,2022-2023
571,Stefan de Vrij,NED,['DF'],Inter,30,1992,21.6,1206,1183,21,17,1,1,0,2,0,0,0,0,1078,2,4,2022-2023
572,Walace,BRA,['MF'],Udinese,27,1995,35.4,1771,1688,77,56,1,25,21,7,1,0,0,0,1482,6,38,2022-2023
573,Sebastian Walukiewicz,POL,['DF'],Empoli,22,2000,6.7,396,383,11,7,0,3,0,0,0,0,0,0,345,2,2,2022-2023
574,Georginio Wijnaldum,NED,['MF'],Roma,31,1990,8.5,204,194,9,6,0,0,4,0,0,0,0,0,169,1,7,2022-2023
575,Harry Winks,ENG,['MF'],Sampdoria,26,1996,19.1,961,885,75,44,1,13,46,1,21,7,8,0,792,1,16,2022-2023
576,Przemysław Wiśniewski,POL,['DF'],Spezia,24,1998,11.1,502,468,33,19,0,4,2,11,0,0,0,0,417,1,7,2022-2023
577,Gerard Yepes,ESP,['MF'],Sampdoria,19,2002,2.2,105,99,6,6,0,0,0,0,0,0,0,0,77,0,0,2022-2023
578,Mattia Zaccagni,ITA,['FW'],Lazio,27,1995,30.8,1047,1024,21,7,2,7,62,8,6,4,1,0,841,2,35,2022-2023
579,Denis Zakaria,SUI,['MF'],Juventus,25,1996,1.4,38,37,0,0,0,0,3,0,0,0,0,0,32,1,2,2022-2023
580,Nicola Zalewski,POL,['DF'],Roma,20,2002,24.4,1252,993,254,18,2,14,76,224,12,9,2,0,933,5,25,2022-2023
581,Andre-Frank Zambo Anguissa,CMR,['MF'],Napoli,26,1995,33.9,2261,2230,29,18,2,3,24,11,0,0,0,0,1988,2,24,2022-2023
582,Luca Zanimacchia,ITA,"['MF', 'FW']",Cremonese,24,1998,8.3,312,271,40,8,0,1,46,2,21,9,10,0,213,1,9,2022-2023
583,Nicolò Zaniolo,ITA,"['MF', 'FW']",Roma,23,1999,9.9,196,184,11,4,3,6,20,1,5,4,1,0,125,1,12,2022-2023
584,Alessandro Zanoli,ITA,['DF'],Sampdoria,21,2000,17.1,700,594,105,12,0,2,33,93,0,0,0,0,535,1,23,2022-2023
585,Alessandro Zanoli,ITA,['DF'],Napoli,21,2000,0.1,11,10,1,0,0,0,1,1,0,0,0,0,9,0,1,2022-2023
586,Mattia Zanotti,ITA,['DF'],Inter,19,2003,0.3,8,7,1,0,0,0,0,1,0,0,0,0,6,0,0,2022-2023
587,Duván Zapata,COL,['FW'],Atalanta,31,1991,15.4,412,377,31,1,0,6,29,7,1,0,0,0,281,4,14,2022-2023
588,Davide Zappacosta,ITA,['DF'],Atalanta,30,1992,16.3,925,719,204,11,0,0,59,188,5,5,0,0,771,2,22,2022-2023
589,Karim Zedadka,FRA,['FW'],Napoli,22,2000,0.2,16,10,6,3,0,0,1,3,0,0,0,0,11,0,1,2022-2023
590,Deyovaisio Zeefuik,NED,['DF'],Hellas Verona,24,1998,0.1,7,6,1,0,0,1,1,1,0,0,0,0,5,0,0,2022-2023
591,Marvin Zeegelaar,NED,['DF'],Udinese,31,1990,3.9,187,165,22,3,0,2,4,19,0,0,0,0,153,0,0,2022-2023
592,Alessio Zerbin,ITA,['FW'],Napoli,23,1999,2.2,78,76,0,0,0,0,1,0,0,0,0,0,56,2,2,2022-2023
593,Piotr Zieliński,POL,['MF'],Napoli,28,1994,25.4,1552,1381,167,41,2,6,112,4,92,30,36,1,1300,4,25,2022-2023
594,David Zima,CZE,['DF'],Torino,21,2000,4.5,197,194,3,3,0,0,0,0,0,0,0,0,154,0,3,2022-2023
595,Joshua Zirkzee,NED,['FW'],Bologna,21,2001,9.1,257,238,17,0,2,0,1,1,0,0,0,0,198,2,9,2022-2023
596,Jeroen Zoet,NED,['GK'],Spezia,31,1991,3.7,133,104,29,6,0,0,0,0,0,0,0,0,75,0,0,2022-2023
597,Nadir Zortea,ITA,"['DF', 'MF']",Atalanta,23,1999,2.5,98,83,15,0,1,0,10,15,0,0,0,0,60,0,6,2022-2023
598,Nadir Zortea,ITA,['DF'],Sassuolo,23,1999,7.3,410,338,71,9,0,1,33,60,2,1,1,0,310,1,12,2022-2023
599,Petar Zovko,BIH,['GK'],Spezia,20,2002,0.8,36,21,15,2,0,0,0,0,0,0,0,0,22,0,0,2022-2023
600,Szymon Żurkowski,POL,['MF'],Fiorentina,24,1997,0.4,19,19,0,0,0,0,1,0,0,0,0,0,17,0,1,2022-2023
601,Szymon Żurkowski,POL,['MF'],Spezia,24,1997,4.7,101,101,0,0,0,0,4,0,0,0,0,0,70,0,6,2022-2023
602,Milan Đurić,BIH,['FW'],Hellas Verona,32,1990,15.2,523,514,7,0,2,0,0,2,0,0,0,0,268,2,3,2022-2023
603,Filip Đuričić,SRB,"['MF', 'FW']",Sampdoria,30,1992,24.1,758,703,53,17,3,3,41,8,22,5,13,0,586,2,36,2022-2023
