Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerials_Won,aerials_Lost,aerials_Won%,Season
162,Anthony Elanga,SWE,"['FW', 'MF']",Nott'ham Forest,22,2002,27.8,1,0,0,9,47,18,185,6,14,0,0,0,89,24,37,39.3,2024-2025
163,Harvey Elliott,ENG,['MF'],Liverpool,21,2003,4.1,1,0,0,0,1,1,12,1,3,0,0,0,15,1,2,33.3,2024-2025
164,Yunus Emre Konak,TUR,"['FW', 'MF']",Brentford,18,2006,0.5,0,0,0,3,1,0,0,0,4,0,0,0,2,5,9,35.7,2024-2025
165,Julio Enciso,PAR,"['MF', 'FW']",Ipswich Town,20,2004,9.7,3,0,0,9,21,0,21,1,9,0,1,0,43,8,17,32.0,2024-2025
166,Julio Enciso,PAR,"['MF', 'FW']",Brighton,20,2004,3.3,0,0,0,3,7,0,20,0,0,0,0,0,15,6,5,54.5,2024-2025
167,Wataru Endo,JPN,"['MF', 'DF']",Liverpool,31,1993,3.0,0,0,0,15,7,0,1,6,8,0,0,0,14,3,4,42.9,2024-2025
168,Christian Eriksen,DEN,['MF'],Manchester Utd,32,1992,11.8,4,0,0,8,3,0,85,7,9,0,0,0,62,2,6,25.0,2024-2025
169,Romain Esse,ENG,['MF'],Crystal Palace,19,2005,1.5,0,0,0,2,3,0,0,1,6,0,0,0,9,3,2,60.0,2024-2025
170,Pervis Estupiñán,ECU,['DF'],Brighton,26,1998,26.7,5,0,0,36,20,3,119,37,43,0,0,0,147,46,26,63.9,2024-2025
171,Evanilson,BRA,['FW'],Bournemouth,24,1999,25.8,1,1,0,37,53,20,0,1,10,5,0,0,67,42,62,40.4,2024-2025
172,Jake Evans,ENG,['FW'],Leicester City,15,2008,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,2024-2025
173,Jonny Evans,NIR,['DF'],Manchester Utd,36,1988,3.5,1,0,0,5,6,0,0,5,6,0,0,0,16,9,3,75.0,2024-2025
174,Eberechi Eze,ENG,"['MF', 'FW']",Crystal Palace,26,1998,28.8,1,0,0,13,51,9,112,11,22,0,0,0,146,7,37,15.9,2024-2025
175,Łukasz Fabiański,POL,['GK'],West Ham,39,1985,12.9,2,0,0,2,1,0,0,0,0,0,2,0,5,3,1,75.0,2024-2025
176,Wout Faes,BEL,['DF'],Leicester City,26,1998,31.3,4,0,0,23,11,1,5,26,26,0,0,0,90,45,36,55.6,2024-2025
177,Abdul Fatawu Issahaku,GHA,['FW'],Leicester City,20,2004,6.4,0,0,0,11,20,2,30,4,15,0,0,0,38,14,13,51.9,2024-2025
