Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,CK_In,CK_Out,CK_Str,Cmp,Off,Blocks,Season
401,Florent Ogier,FRA,['DF'],Clermont Foot,34,1989,10.5,512,488,24,15,0,1,0,0,0,0,0,0,425,0,0,2023-2024
402,Joseph Okumu,KEN,['DF'],Reims,26,1997,19.4,1293,1256,29,24,0,17,3,2,0,0,0,0,1062,8,12,2023-2024
403,Warmed Omari,COM,['DF'],Rennes,23,2000,23.0,1291,1252,38,32,4,8,0,2,0,0,0,0,1162,1,12,2023-2024
404,Becir Omeragic,SUI,"['DF', 'MF']",Montpellier,21,2002,25.7,1060,1003,57,34,0,10,3,4,0,0,0,0,904,0,12,2023-2024
405,Jean Onana,CMR,['MF'],Marseille,23,2000,6.3,458,446,8,8,1,3,2,0,0,0,0,0,398,4,6,2023-2024
406,Royce Openda,GAB,['FW'],Lorient,21,2002,0.2,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2023-2024
407,Christopher Operi,CIV,['DF'],Le Havre,26,1997,27.2,1570,1191,371,93,0,9,190,223,55,23,26,0,1147,8,32,2023-2024
408,Gift Orban,NGA,['FW'],Lyon,21,2002,5.3,103,97,6,3,0,1,3,0,1,0,0,0,73,0,6,2023-2024
409,Kassoum Ouattara,FRA,"['DF', 'FW']",Monaco,18,2004,7.1,329,266,61,2,0,0,35,59,0,0,0,0,213,2,11,2023-2024
410,Alexandre Oukidja,ALG,['GK'],Metz,35,1988,33.2,1002,593,407,115,0,6,0,0,0,0,0,0,513,2,2,2023-2024
411,Azzedine Ounahi,MAR,['MF'],Marseille,23,2000,13.4,817,799,15,10,3,2,22,3,1,1,0,0,722,3,15,2023-2024
412,Adam Ounas,ALG,['FW'],Lille,26,1996,4.6,194,181,12,2,2,1,22,2,8,5,1,0,138,1,4,2023-2024
413,Patrick Ouotro,CIV,['FW'],Strasbourg,17,2005,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2023-2024
414,Pablo Pagis,FRA,['MF'],Lorient,20,2002,1.8,61,58,3,0,0,1,2,0,3,1,0,0,46,0,0,2023-2024
415,Nicolas Pallois,FRA,['DF'],Nantes,35,1987,17.7,774,729,42,21,0,2,13,16,0,0,0,0,620,3,7,2023-2024
416,Andy Pelmard,MAD,['DF'],Clermont Foot,23,2000,33.2,1666,1551,107,52,2,2,6,42,0,0,0,0,1412,8,16,2023-2024
417,Aurélien Pelon,FRA,['DF'],Lorient,19,2004,1.0,33,33,0,0,0,0,0,0,0,0,0,0,26,0,0,2023-2024
418,Faris Pemi Moumbagna,CMR,['FW'],Marseille,23,2000,6.1,107,99,6,0,0,0,4,0,0,0,0,0,74,2,2,2023-2024
419,Danilo Pereira,POR,['DF'],Paris S-G,31,1991,22.2,2223,2181,39,33,1,4,1,5,0,0,0,0,2089,3,2,2023-2024
420,Mathias Pereira Lage,POR,"['FW', 'MF']",Brest,26,1996,13.2,395,342,52,24,0,2,66,2,26,12,12,0,266,1,8,2023-2024
421,Romain Perraud,FRA,"['DF', 'FW']",Nice,25,1997,4.1,243,191,52,6,0,0,21,39,7,0,4,0,176,0,8,2023-2024
422,Lucas Perrin,FRA,['DF'],Strasbourg,24,1998,30.3,1839,1693,143,84,4,9,5,14,0,0,0,0,1608,3,8,2023-2024
423,Denis Petrić,SRB,['GK'],Nantes,35,1988,0.3,8,5,2,2,0,0,0,0,0,0,0,0,6,1,0,2023-2024
424,Ronaël Pierre-Gabriel,FRA,['DF'],Nantes,25,1998,6.6,289,238,50,5,0,0,9,45,0,0,0,0,227,1,11,2023-2024
425,Julien Ponceau,FRA,['MF'],Lorient,22,2000,24.9,1200,1126,66,26,2,4,49,16,23,8,15,0,1014,8,29,2023-2024
426,Sanjin Prcić,BIH,['MF'],Strasbourg,29,1993,1.0,47,42,4,4,0,1,0,0,0,0,0,0,44,1,0,2023-2024
427,Gonçalo Ramos,POR,['FW'],Paris S-G,22,2001,15.8,397,389,7,1,4,0,3,1,0,0,0,0,304,1,14,2023-2024
428,Elba Rashani,KVX,"['MF', 'FW']",Clermont Foot,30,1993,13.1,392,382,9,3,1,0,28,3,3,0,0,0,294,1,20,2023-2024
