Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Season
233,Tim Kleindienst,GER,['FW'],Heidenheim,27,1995,31.9,71,2.23,54,0,4,9,1,3,11,0.35,8,0,1,1,1,0,2023-2024
234,Lukas Klostermann,GER,['DF'],RB Leipzig,27,1996,16.0,14,0.88,13,0,0,1,0,0,0,0.00,0,0,0,0,0,0,2023-2024
235,Ansgar Knauff,GER,"['MF', 'DF']",Eint Frankfurt,21,2002,23.4,61,2.60,51,0,6,2,0,2,6,0.26,5,0,0,0,0,1,2023-2024
236,Robin Knoche,GER,['DF'],Union Berlin,31,1992,21.3,13,0.61,9,1,0,3,0,0,0,0.00,0,0,0,0,0,0,2023-2024
237,Gregor Kobel,SUI,['GK'],Dortmund,25,1997,26.3,4,0.15,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
238,Robin Koch,GER,['DF'],Eint Frankfurt,27,1996,30.4,18,0.59,15,0,0,3,0,0,3,0.10,3,0,0,0,0,0,2023-2024
239,Dominik Kohr,GER,"['DF', 'MF']",Mainz 05,29,1994,24.3,28,1.15,22,0,2,4,0,0,0,0.00,0,0,0,0,0,0,2023-2024
240,Randal Kolo Muani,FRA,['FW'],Eint Frankfurt,24,1998,1.7,1,0.59,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,2023-2024
241,Mert Kömür,GER,"['MF', 'DF']",Augsburg,18,2005,1.3,5,3.81,2,1,0,0,2,0,0,0.00,0,0,0,0,0,0,2023-2024
242,Manu Koné,FRA,['MF'],Gladbach,22,2001,17.3,59,3.40,42,0,7,6,4,0,3,0.17,0,0,0,2,1,0,2023-2024
243,Odilon Kossounou,CIV,['DF'],Leverkusen,22,2001,20.1,33,1.64,31,0,2,0,0,0,3,0.15,3,0,0,0,0,0,2023-2024
244,Tomáš Koubek,CZE,['GK'],Augsburg,30,1992,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
245,Matej Kovar,CZE,['GK'],Leverkusen,23,2000,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
246,Dawid Kownacki,POL,['FW'],Werder Bremen,26,1997,4.2,17,4.01,8,0,1,5,3,0,2,0.47,1,0,0,0,1,0,2023-2024
247,Alex Král,CZE,['MF'],Union Berlin,25,1998,15.2,23,1.51,15,2,2,1,1,2,0,0.00,0,0,0,0,0,0,2023-2024
248,Andrej Kramarić,CRO,"['MF', 'FW']",Hoffenheim,32,1991,24.4,135,5.53,81,39,7,3,4,1,16,0.65,12,1,2,0,1,0,2023-2024
249,Christoph Kramer,GER,['MF'],Gladbach,32,1991,2.8,5,1.80,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
250,Frans Krätzig,GER,['DF'],Bayern Munich,20,2003,0.6,2,3.16,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,2023-2024
251,Tom Krauß,GER,['MF'],Mainz 05,22,2001,15.0,22,1.47,18,0,0,1,3,0,3,0.20,2,0,0,0,1,0,2023-2024
252,Lukas Kübler,GER,['DF'],Freiburg,30,1992,20.5,14,0.68,10,2,0,0,2,0,2,0.10,2,0,0,0,0,0,2023-2024
253,Mahmut Kücüksahin,[],['MF'],Augsburg,19,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
254,Christian Kühlwetter,GER,['MF'],Heidenheim,27,1996,0.1,1,11.25,1,0,0,0,0,0,1,11.25,1,0,0,0,0,0,2023-2024
255,Moritz-Broni Kwarteng,GHA,['FW'],Bochum,25,1998,3.1,17,5.44,8,0,5,3,1,0,1,0.32,1,0,0,0,0,0,2023-2024
256,Maxence Lacroix,FRA,['DF'],Wolfsburg,23,2000,26.2,24,0.91,21,0,0,1,2,0,2,0.08,2,0,0,0,0,0,2023-2024
257,Aïssa Laïdouni,TUN,['MF'],Union Berlin,26,1996,11.9,29,2.44,25,1,1,0,2,0,4,0.34,4,0,0,0,0,0,2023-2024
258,Konrad Laimer,AUT,"['DF', 'MF']",Bayern Munich,26,1997,19.7,67,3.40,57,3,3,2,1,1,8,0.41,6,0,1,1,0,0,2023-2024
259,Stefan Lainer,AUT,"['DF', 'MF']",Gladbach,30,1992,8.3,19,2.28,18,0,0,0,1,0,1,0.12,1,0,0,0,0,0,2023-2024
260,Hugo Larsson,SWE,['MF'],Eint Frankfurt,19,2004,21.0,25,1.19,23,0,0,2,0,0,5,0.24,4,0,0,1,0,0,2023-2024
261,Diogo Leite,POR,['DF'],Union Berlin,24,1999,30.0,24,0.80,19,0,0,1,3,1,3,0.10,3,0,0,0,0,0,2023-2024
262,Maxim Leitsch,GER,['DF'],Mainz 05,25,1998,4.2,1,0.24,1,0,0,0,0,0,1,0.24,1,0,0,0,0,0,2023-2024
263,Christopher Lenz,GER,"['DF', 'MF']",RB Leipzig,28,1994,0.5,2,3.83,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
264,Christopher Lenz,GER,['DF'],Eint Frankfurt,28,1994,0.1,1,8.18,1,0,0,0,0,0,1,8.18,1,0,0,0,0,0,2023-2024
265,Jamie Leweling,GER,"['FW', 'MF']",Stuttgart,22,2001,16.9,61,3.61,39,1,9,9,1,2,8,0.47,6,0,1,1,0,0,2023-2024
266,Philipp Lienhart,AUT,['DF'],Freiburg,27,1996,14.1,14,1.00,13,0,0,1,0,0,1,0.07,1,0,0,0,0,0,2023-2024
267,Matthijs de Ligt,NED,['DF'],Bayern Munich,23,1999,15.4,13,0.84,11,0,0,2,0,0,1,0.06,1,0,0,0,0,0,2023-2024
268,Jesper Lindstrøm,DEN,['FW'],Eint Frankfurt,23,2000,0.9,2,2.17,2,0,0,0,0,0,1,1.08,1,0,0,0,0,0,2023-2024
269,Dejan Ljubicic,AUT,"['MF', 'FW']",Köln,25,1997,22.8,61,2.68,52,1,1,5,1,1,2,0.09,1,0,0,1,0,0,2023-2024
270,Noah Loosli,SUI,['DF'],Bochum,26,1997,3.8,2,0.52,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
271,Anthony Losilla,FRA,['MF'],Bochum,37,1986,28.6,43,1.50,34,0,2,3,3,1,2,0.07,2,0,0,0,0,0,2023-2024
272,Castello Lukeba,FRA,['DF'],RB Leipzig,20,2002,24.3,12,0.49,12,0,0,0,0,0,1,0.04,1,0,0,0,0,0,2023-2024
273,Andreas Luthe,GER,['GK'],Bochum,36,1987,1.0,1,1.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
