player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season
Jones El-Abdellaoui,18,"['Morocco', 'Norway']",RW,€2.30m,Vålerenga Fotball Elite,Celta de Vigo,€4.20m,24/25
Anastasios Douvikas,25,['Greece'],CF,€5.00m,Celta de Vigo,Como 1907,€14.00m,24/25
Jonathan Bamba,28,"[""Cote d'Ivoire"", 'France']",LW,€4.00m,Celta de Vigo,Chicago Fire FC,€3.50m,24/25
Lautaro de León,23,"['Uruguay', 'Spain']",CF,€300k,Celta de Vigo,FC Andorra,free transfer,24/25
José Fontán,24,['Spain'],CB,€1.00m,Celta de Vigo,FC Arouca,free transfer,24/25
Miguel Baeza,24,['Spain'],AM,€400k,Celta de Vigo,CD Nacional,free transfer,24/25
Julen Lobete,23,['Spain'],LW,€1.50m,Celta de Vigo,Málaga CF,free transfer,24/25
Renato Tapia,29,"['Peru', 'Spain']",DM,€5.00m,Celta de Vigo,CD Leganés,free transfer,24/25
Kevin Vázquez,31,['Spain'],RB,€800k,Celta de Vigo,Sporting Gijón,free transfer,24/25
Gonçalo Paciência,30,['Portugal'],CF,€1.50m,Celta de Vigo,Sanfrecce Hiroshima,free transfer,24/25
Stole Dimitrievski,30,"['North Macedonia', 'Spain']",GK,€4.00m,Rayo Vallecano,Valencia CF,free transfer,24/25
Giorgi Mamardashvili,23,['Georgia'],GK,€45.00m,Valencia CF,Liverpool FC,€30.00m,24/25
Samu Castillejo,29,['Spain'],RW,€600k,Valencia CF,Without Club,-,24/25
Thierno Barry,21,"['France', 'Guinea']",CF,€4.00m,FC Basel 1893,Villarreal CF,€20.00m,24/25
Logan Costa,23,"['Cape Verde', 'France']",CB,€12.00m,FC Toulouse,Villarreal CF,€18.00m,24/25
Luiz Júnior,23,"['Brazil', 'Portugal']",GK,€6.00m,FC Famalicão,Villarreal CF,€12.00m,24/25
Willy Kambwala,19,"['France', 'DR Congo']",CB,€5.00m,Manchester United,Villarreal CF,€10.00m,24/25
Diego Conde,25,['Spain'],GK,€2.00m,CD Leganés,Villarreal CF,€4.00m,24/25
Juan Bernat,31,['Spain'],LB,€2.50m,Paris Saint-Germain,Villarreal CF,free transfer,24/25
Nicolas Pépé,29,"[""Cote d'Ivoire"", 'France']",RW,€8.50m,Trabzonspor,Villarreal CF,free transfer,24/25
Sergi Cardona,25,['Spain'],LB,€6.00m,UD Las Palmas,Villarreal CF,free transfer,24/25
Pape Gueye,25,"['Senegal', 'France']",DM,€6.00m,Olympique Marseille,Villarreal CF,free transfer,24/25
Filip Jørgensen,22,"['Denmark', 'Sweden']",GK,€20.00m,Villarreal CF,Chelsea FC,€24.50m,24/25
Ben Brereton Díaz,25,"['Chile', 'England']",CF,€8.00m,Villarreal CF,Southampton FC,€8.30m,24/25
Jorge Cuenca,24,['Spain'],CB,€6.00m,Villarreal CF,Fulham FC,€6.70m,24/25
Haissem Hassan,22,"['France', 'Egypt']",RW,€2.00m,Villarreal CF,Real Oviedo,€1.50m,24/25
Johan Mojica,31,"['Colombia', 'Spain']",LB,€2.20m,Villarreal CF,RCD Mallorca,€1.50m,24/25
Juan Bernat,31,['Spain'],LB,€2.50m,Villarreal CF,Getafe CF,free transfer,24/25
Manu Trigueros,32,['Spain'],CM,€1.50m,Villarreal CF,Granada CF,free transfer,24/25
Aïssa Mandi,32,"['Algeria', 'France']",CB,€1.80m,Villarreal CF,LOSC Lille,free transfer,24/25
Alberto Moreno,32,['Spain'],LB,€1.80m,Villarreal CF,Como 1907,free transfer,24/25
Pepe Reina,41,['Spain'],GK,€600k,Villarreal CF,Como 1907,free transfer,24/25
José Luis Morales,36,['Spain'],CF,€1.50m,Villarreal CF,Levante UD,free transfer,24/25
Bertrand Traoré,28,['Burkina Faso'],RW,€9.00m,Villarreal CF,Ajax Amsterdam,free transfer,24/25
Francis Coquelin,33,"['France', 'Réunion']",DM,€1.50m,Villarreal CF,Without Club,-,24/25
Étienne Capoue,35,"['France', 'Guadeloupe']",DM,€1.50m,Villarreal CF,Retired,-,24/25
Christantus Uche,21,['Nigeria'],CF,€400k,AD Ceuta FC,Getafe CF,€3.00m,24/25
Juan Berrocal,25,['Spain'],CB,€1.00m,SD Eibar,Getafe CF,€2.20m,24/25
Peter Federico,21,"['Dominican Republic', 'Spain']",RW,€3.00m,Real Madrid Castilla,Getafe CF,€2.00m,24/25
Jiri Letacek,25,['Czech Republic'],GK,€600k,FC Banik Ostrava,Getafe CF,€2.00m,24/25
Allan Nyom,36,"['Cameroon', 'France']",RB,€500k,Without Club,Getafe CF,-,24/25
Enes Ünal,27,['Türkiye'],CF,€18.00m,Getafe CF,AFC Bournemouth,€16.50m,24/25
Gastón Álvarez,24,"['Uruguay', 'Spain']",CB,€15.00m,Getafe CF,Al-Qadsiah FC,€12.00m,24/25
Choco Lozano,31,"['Honduras', 'Spain']",CF,€1.20m,Getafe CF,Santos Laguna,€2.00m,24/25
Nabil Aberdin,22,"['Morocco', 'France']",CB,€800k,Getafe CF,FC Sochi,€300k,24/25
Fabrizio Angileri,30,"['Argentina', 'Italy']",LB,€700k,Getafe CF,Sport Club Corinthians Paulista,free transfer,24/25
Nemanja Maksimovic,29,['Serbia'],CM,€6.00m,Getafe CF,Panathinaikos FC,free transfer,24/25
Darío Poveda,27,['Spain'],CF,€500k,Getafe CF,SC Farense,free transfer,24/25
Sabit Abdulai,25,['Ghana'],DM,€200k,Getafe CF,Botafogo FC,free transfer,24/25
Jaime Mata,35,['Spain'],CF,€900k,Getafe CF,UD Las Palmas,free transfer,24/25
Pelayo Fernández,21,['Spain'],CB,€150k,FC Barcelona Atlètic,Rayo Vallecano,free transfer,24/25
Pedro Díaz,26,['Spain'],CM,€2.50m,FC Girondins Bordeaux,Rayo Vallecano,free transfer,24/25
James Rodríguez,33,"['Colombia', 'Spain']",AM,€5.00m,São Paulo Futebol Clube,Rayo Vallecano,free transfer,24/25
Sergi Guardiola,33,['Spain'],CF,€800k,Without Club,Rayo Vallecano,-,24/25
Andrés Martín,25,['Spain'],RW,€1.20m,Rayo Vallecano,Racing Santander,€2.00m,24/25
Radamel Falcao,38,"['Colombia', 'Venezuela']",CF,€800k,Rayo Vallecano,Millonarios FC,free transfer,24/25
Martín Pascual,25,['Spain'],CB,€300k,Rayo Vallecano,Atlético Madrileño,free transfer,24/25
José Pozo,28,['Spain'],AM,€1.00m,Rayo Vallecano,Karmiotissa Pano Polemidion,free transfer,24/25
Bebé,34,"['Cape Verde', 'Portugal']",LW,€600k,Rayo Vallecano,Racing Ferrol,free transfer,24/25
James Rodríguez,33,"['Colombia', 'Spain']",AM,€2.50m,Rayo Vallecano,Club León FC,free transfer,24/25
Mateu Morey,24,['Spain'],RB,€800k,Borussia Dortmund,RCD Mallorca,free transfer,24/25
Takuma Asano,29,['Japan'],RW,€4.00m,VfL Bochum,RCD Mallorca,free transfer,24/25
Predrag Rajković,28,['Serbia'],GK,€10.00m,RCD Mallorca,Al-Ittihad Club,€8.00m,24/25
Giovanni González,29,"['Uruguay', 'Italy']",RB,€3.00m,RCD Mallorca,FC Krasnodar,€4.00m,24/25
Amath Ndiaye,27,"['Senegal', 'Spain']",RW,€1.50m,RCD Mallorca,Real Valladolid CF,€2.00m,24/25
Jaume Costa,36,['Spain'],LB,€900k,RCD Mallorca,Albacete Balompié,free transfer,24/25
Iddrisu Baba,28,"['Ghana', 'Spain']",CM,€2.20m,RCD Mallorca,UD Almería,free transfer,24/25
Josep Gayá,24,['Spain'],CB,€300k,RCD Mallorca,CD Tenerife,free transfer,24/25
Matija Nastasić,31,['Serbia'],CB,€1.50m,RCD Mallorca,CD Leganés,free transfer,24/25
Marvin Park,23,['Spain'],RB,€2.00m,Real Madrid Castilla,UD Las Palmas,€2.00m,24/25
Manu Fuster,26,['Spain'],RW,€2.40m,Albacete Balompié,UD Las Palmas,€1.50m,24/25
Jasper Cillessen,35,['Netherlands'],GK,€1.30m,NEC Nijmegen,UD Las Palmas,€500k,24/25
Scott McKenna,27,['Scotland'],CB,€9.00m,Nottingham Forest,UD Las Palmas,free transfer,24/25
Oli McBurnie,28,"['Scotland', 'England']",CF,€4.50m,Sheffield United,UD Las Palmas,free transfer,24/25
Viti Rozada,26,['Spain'],RB,€1.50m,Real Oviedo,UD Las Palmas,free transfer,24/25
Iván Cédric,22,"['Cameroon', 'Spain']",CF,€400k,Real Valladolid Promesas,UD Las Palmas,free transfer,24/25
Álex Muñoz,29,['Spain'],LB,€1.20m,Levante UD,UD Las Palmas,free transfer,24/25
Iván Gil,24,['Spain'],AM,€1.00m,FC Andorra,UD Las Palmas,free transfer,24/25
Dinko Horkas,25,"['Croatia', 'Bosnia-Herzegovina']",GK,€1.20m,Lokomotiv Plovdiv,UD Las Palmas,free transfer,24/25
Saúl Coco,25,"['Equatorial Guinea', 'Spain']",CB,€8.00m,UD Las Palmas,Torino FC,€8.23m,24/25
Munir El Haddadi,28,"['Morocco', 'Spain']",AM,€2.50m,UD Las Palmas,CD Leganés,free transfer,24/25
Daley Sinkgraven,29,['Netherlands'],LB,€700k,UD Las Palmas,Fortuna Sittard,free transfer,24/25
Fabio González,27,['Spain'],CM,€500k,UD Las Palmas,CD Tenerife,free transfer,24/25
Cristian Herrera,33,['Spain'],CF,€300k,UD Las Palmas,Deportivo de La Coruña,free transfer,24/25
Nuke Mfulu,30,"['DR Congo', 'France']",DM,€700k,UD Las Palmas,Deportivo de La Coruña,free transfer,24/25
Álvaro Lemos,31,['Spain'],RB,€700k,UD Las Palmas,Real Oviedo,free transfer,24/25
Aarón Escandell,28,['Spain'],GK,€1.00m,UD Las Palmas,Real Oviedo,free transfer,24/25
Eric Curbelo,30,['Spain'],CB,€800k,UD Las Palmas,Sporting Gijón,free transfer,24/25
Joel del Pino,26,['Spain'],LW,€150k,UD Las Palmas,Without Club,-,24/25
Álvaro Valles,27,['Spain'],GK,€3.00m,UD Las Palmas,Without Club,-,24/25
Yáser Asprilla,20,['Colombia'],RW,€9.00m,Watford FC,Girona FC,€18.00m,24/25
Abel Ruiz,24,['Spain'],CF,€12.00m,SC Braga,Girona FC,€9.00m,24/25
Ladislav Krejci,25,['Czech Republic'],CB,€10.00m,AC Sparta Prague,Girona FC,€8.00m,24/25
Bojan Miovski,25,['North Macedonia'],CF,€4.00m,Aberdeen FC,Girona FC,€6.50m,24/25
Alejandro Francés,21,['Spain'],CB,€4.00m,Real Zaragoza,Girona FC,€3.50m,24/25
Donny van de Beek,27,['Netherlands'],CM,€5.00m,Manchester United,Girona FC,€500k,24/25
Gabriel Misehouy,18,"['Netherlands', 'Ghana']",AM,€1.00m,Ajax Amsterdam U21,Girona FC,free transfer,24/25
Vladyslav Krapyvtsov,19,['Ukraine'],GK,-,Without Club,Girona FC,-,24/25
Artem Dovbyk,27,['Ukraine'],CF,€35.00m,Girona FC,AS Roma,€30.50m,24/25
Aleix García,27,['Spain'],CM,€25.00m,Girona FC,Bayer 04 Leverkusen,€18.00m,24/25
Iker Almena,20,['Spain'],RW,-,Girona FC,Al-Qadsiah FC,€5.00m,24/25
Álex Sala,23,['Spain'],CM,€300k,Girona FC,Córdoba CF,€500k,24/25
Alexander Callens,32,"['Peru', 'Spain']",CB,€1.20m,Girona FC,AEK Athens,€300k,24/25
Arnau Ortiz,22,['Spain'],LW,€400k,Girona FC,Slask Wroclaw,free transfer,24/25
Gabri Martínez,21,['Spain'],LW,€1.80m,Girona FC,SC Braga,free transfer,24/25
Óscar Ureña,21,"['Dominican Republic', 'Spain']",LW,€400k,Girona FC,FC Barcelona Atlètic,free transfer,24/25
Manu Vallejo,27,['Spain'],SS,€1.50m,Girona FC,Racing Ferrol,free transfer,24/25
Toni Villa,29,['Spain'],LW,€1.50m,Girona FC,SD Eibar,free transfer,24/25
Borja García,33,['Spain'],AM,€800k,Girona FC,Retired,-,24/25
Stipe Biuk,21,['Croatia'],LW,€4.00m,Los Angeles FC,Real Valladolid CF,€4.00m,24/25
Víctor Meseguer,25,['Spain'],CM,€2.20m,Granada CF,Real Valladolid CF,€3.00m,24/25
Raúl Moro,21,['Spain'],LW,€2.50m,SS Lazio,Real Valladolid CF,€2.50m,24/25
André Ferreira,28,['Portugal'],GK,€800k,Granada CF,Real Valladolid CF,€1.00m,24/25
Stanko Juric,27,['Croatia'],DM,€2.20m,Parma Calcio 1913,Real Valladolid CF,€950k,24/25
Tamás Nikitscher,25,['Hungary'],DM,€900k,Kecskeméti TE,Real Valladolid CF,€600k,24/25
Juma Bah,18,['Sierra Leone'],CB,€1.00m,AIK Freetong,Real Valladolid CF,€125k,24/25
Henrique Silva,30,['Brazil'],LB,€800k,Without Club,Real Valladolid CF,-,24/25
Juma Bah,18,['Sierra Leone'],CB,€1.00m,Real Valladolid CF,Manchester City,€6.00m,24/25
Monchu,24,['Spain'],CM,€5.00m,Real Valladolid CF,Aris Thessaloniki,€3.60m,24/25
Lucas Rosa,24,"['Brazil', 'Italy']",RB,€2.00m,Real Valladolid CF,Ajax Amsterdam,€3.00m,24/25
Kike Pérez,27,['Spain'],CM,€2.80m,Real Valladolid CF,Venezia FC,€1.00m,24/25
Tunde Akinsola,21,['Nigeria'],LW,€250k,Real Valladolid CF,Avs Futebol,free transfer,24/25
César de la Hoz,32,['Spain'],DM,€400k,Real Valladolid CF,Real Oviedo,free transfer,24/25
Sergio Escudero,34,['Spain'],LB,€800k,Real Valladolid CF,Deportivo de La Coruña,free transfer,24/25
Álvaro Negredo,38,['Spain'],CF,-,Real Valladolid CF,Without Club,-,24/25
Jordi Masip,35,['Spain'],GK,€700k,Real Valladolid CF,Retired,-,24/25
Duk,24,"['Cape Verde', 'Portugal']",LW,€1.20m,Aberdeen FC,CD Leganés,€715k,24/25
Enric Franquesa,27,['Spain'],LB,€1.50m,Levante UD,CD Leganés,€90k,24/25
Yan Diomande,18,"[""Cote d'Ivoire""]",LW,-,DME Academy,CD Leganés,free transfer,24/25
Valentin Rosier,27,"['France', 'Guadeloupe']",RB,€4.00m,Besiktas JK,CD Leganés,free transfer,24/25
Juan Soriano,26,['Spain'],GK,€1.50m,CD Tenerife,CD Leganés,free transfer,24/25
Aritz Arambarri,26,['Spain'],CB,€500k,CD Leganés,SD Eibar,free transfer,24/25
